지역	페이종류	URL
가평군	가평사랑상품권	http://www.gp.go.kr/portal/selectBbsNttList.do?key=501&bbsNo=150&integrDeptCode=&searchWRTER=&searchMOBLPHON=&searchBeginning=&searchDEPT=&searchCnd=SJ&searchKrwd=%EA%B0%80%ED%8F%89%EC%82%AC%EB%9E%91%EC%83%81%ED%92%88%EA%B6%8C&x=57&y=16
고양시	고양페이	http://www.goyang.go.kr/www/www03/www03_4/www03_4_12/www03_4_12_tab2.jsp
과천시	과천화폐 과천토리	http://www.gccity.go.kr/main/board/bbs.do?mCode=F030011500&cfgIdx=218
광명시	광명사랑화폐	http://www.gm.go.kr/pt/user/bbs/BD_selectBbsList.do?q_bbsCode=2435&q_bbscttSn=&q_clCode=&q_searchKeyTy=sj___1002&q_searchVal=%EC%82%AC%EC%9A%A9%EC%B2%98%20%ED%98%84%ED%99%A9&q_rowPerPage=&q_currPage=1&q_sortName=&q_sortOrder=&
광주시	광주사랑카드	https://www.gjcity.go.kr/portal/bbs/list.do?ptIdx=1&mId=0201010000
구리시	구리사랑상품권	http://search.guri.go.kr/search.jsp?qry=%EA%B5%AC%EB%A6%AC%EC%82%AC%EB%9E%91%EC%B9%B4%EB%93%9C+%EA%B0%80%EB%A7%B9%EC%A0%90&total=8&menu=0&dept=0&quest=0&doc=0&board=8
군포시	군포愛(애)머니	
남양주시	Thank You Pay-N	
동두천시	동두천사랑카드	https://www.ddc.go.kr/ddc/selectBbsNttList.do?bbsNo=145&key=1590
부천시	부천페이	https://www.bucheon.go.kr/site/program/board/basicboard/list?boardtypeid=27296&menuid=148006004013002
수원시	수원페이	
안산시	안산사랑상품권 다온	
안성시	안성사랑카드	
안양시	안양사랑상품권 (미출시)	
양주시	양주사랑카드	
양평군	양평통보	
여주시	여주사랑카드	
연천군	연천사랑상품권 (미출시)	
오산시	오산화폐 오색전	
용인시	용인와이페이	
의왕시	의왕사랑상품권 (미출시)	http://www.uiwang.go.kr/UWKORECO0804
의정부시	의정부사랑카드	
이천시	이천사랑지역화폐	
파주시	파주페이 (미출시)	
포천시	포천사랑상품권 (미출시)	
하남시	하머니	
화성시	행복화성지역화폐	
김포시	김포페이	
시흥시	시루	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
